batch_id,product_id,production_date,quantity_produced,qc_status
1,1,2025-04-06,656.55,Passed
2,1,2026-04-09,2374.785,Passed
3,2,2025-03-25,1556.13,Passed
4,2,2025-09-26,1495.5149999999999,Passed
5,2,2025-11-04,1835.67,Passed
6,3,2026-01-13,1292.8799999999999,Passed
7,3,2025-04-26,1577.34,Passed
8,3,2026-07-08,1835.67,Passed
9,4,2025-03-23,1767.9900000000002,Passed
10,4,2026-02-10,1973.625,Passed
11,4,2026-06-09,1481.07,Passed
12,5,2025-10-17,1318.725,Passed
13,5,2025-08-16,915.045,Passed
14,6,2025-09-13,490.995,Passed
15,6,2026-06-07,1207.2450000000001,Passed
16,6,2026-04-10,2350.965,Passed
17,6,2025-05-20,1036.56,Passed
18,7,2026-03-20,1865.1150000000002,Passed
19,7,2025-05-18,1390.3799999999999,Passed
20,7,2026-01-29,849.24,Passed
21,8,2026-01-16,2096.205,Passed
22,8,2026-04-07,1216.815,Passed
23,8,2026-06-05,986.8499999999999,Passed
24,8,2025-10-06,2147.715,Passed
25,9,2025-07-08,1586.8200000000002,Passed
26,9,2025-08-04,1119.6750000000002,Passed
27,10,2025-11-21,153.3,Passed
28,10,2025-12-01,149.47500000000002,Passed
29,11,2026-05-04,124.62,Passed
30,11,2026-05-20,106.27499999999999,Passed
31,12,2026-01-07,579.51,Passed
32,12,2026-03-01,2108.325,Passed
33,12,2025-08-15,713.4000000000001,Passed
34,13,2025-04-26,1840.995,Passed
35,13,2026-07-05,1408.71,Passed
36,13,2025-06-14,2299.185,Passed
37,14,2026-06-13,160.635,Passed
38,14,2025-08-25,132.42000000000002,Passed
39,15,2026-03-02,1237.9950000000001,Passed
40,15,2025-10-10,2198.58,Passed
41,16,2025-12-22,2489.295,Passed
42,16,2025-04-17,1020.78,Passed
43,16,2026-03-08,576.675,Passed
44,16,2025-08-29,2301.285,Passed
45,17,2025-04-07,984.39,Passed
46,17,2025-07-08,636.51,Passed
47,17,2026-03-17,2617.245,Passed
48,17,2026-02-02,1701.0149999999999,Passed
49,18,2025-12-11,2684.175,Passed
50,18,2025-11-27,2014.6799999999998,Passed
51,18,2026-05-26,1866.1499999999999,Passed
52,19,2026-07-11,1862.0099999999998,Passed
53,19,2026-02-18,2108.4750000000004,Passed
54,19,2025-08-16,2588.43,Passed
55,19,2025-04-08,690.1949999999999,Passed
56,20,2025-07-29,1905.405,Passed
57,20,2025-08-30,1763.22,Passed
58,20,2026-06-01,1034.8799999999999,Passed
59,21,2026-02-17,1079.475,Passed
60,21,2025-04-07,1990.6499999999999,Passed
61,21,2026-05-27,621.45,Passed
62,21,2025-07-06,2082.87,Passed
63,22,2026-07-02,2548.6349999999998,Passed
64,22,2025-07-12,820.875,Passed
65,22,2025-07-03,2273.745,Passed
66,23,2025-10-18,1786.8000000000002,Passed
67,23,2025-08-04,2315.625,Passed
68,24,2026-04-05,532.845,Passed
69,24,2025-06-02,576.84,Passed
70,25,2025-12-27,187.605,Passed
71,25,2026-05-20,131.02499999999998,Passed
72,26,2025-04-11,740.61,Passed
73,26,2025-12-19,916.26,Passed
74,26,2025-09-27,555.51,Passed
75,27,2026-02-08,1570.875,Passed
76,27,2025-10-26,1620.375,Passed
77,27,2026-05-19,2627.94,Passed
78,27,2025-11-03,1357.83,Passed
79,28,2025-05-31,2149.065,Passed
80,28,2026-05-07,2261.355,Passed
81,28,2026-01-01,482.73,Passed
82,28,2026-04-05,1882.455,Passed
83,29,2025-04-21,2084.3999999999996,Passed
84,29,2025-03-27,2498.565,Passed
85,29,2026-03-28,2390.325,Passed
86,29,2025-06-19,1483.53,Passed
87,30,2025-08-06,1483.0500000000002,Passed
88,30,2026-05-20,1231.68,Passed
89,31,2025-11-14,1218.51,Passed
90,31,2026-02-11,738.105,Passed
91,31,2025-07-03,2019.75,Passed
92,31,2025-06-19,1227.75,Passed
93,32,2026-02-07,1952.0099999999998,Passed
94,32,2026-03-12,953.655,Passed
95,32,2025-04-02,1076.835,Passed
96,32,2025-06-02,1684.605,Passed
97,33,2026-05-27,1269.6,Passed
98,33,2025-09-14,1173.555,Passed
99,33,2026-05-26,1862.7749999999999,Passed
100,34,2026-03-27,66.885,Passed
101,34,2025-10-28,191.28,Passed
102,34,2025-09-12,137.77499999999998,Passed
103,35,2026-04-25,1490.6999999999998,Passed
104,35,2026-06-28,782.415,Passed
105,35,2026-07-09,2464.215,Passed
106,35,2025-11-15,518.5649999999999,Passed
107,36,2025-11-27,1343.625,Passed
108,36,2026-03-15,1298.895,Passed
109,36,2025-04-27,2341.59,Passed
110,37,2025-09-15,974.73,Passed
111,37,2026-06-17,1977.9750000000001,Passed
112,37,2026-03-25,1529.055,Passed
113,38,2026-06-08,1704.915,Passed
114,38,2025-11-18,737.0550000000001,Passed
115,38,2026-07-06,2474.205,Passed
116,39,2025-04-28,1571.0549999999998,Passed
117,39,2025-06-30,983.76,Passed
118,39,2025-12-26,1272.06,Passed
119,39,2025-07-27,869.7750000000001,Passed
120,40,2026-02-10,85.065,Passed
121,40,2026-06-02,236.73,Passed
122,40,2025-03-31,207.95999999999998,Passed
123,40,2025-07-08,189.645,Passed
124,41,2025-08-11,1653.84,Passed
125,41,2026-01-20,2181.36,Passed
126,41,2026-03-16,2049.645,Passed
127,42,2026-02-22,708.39,Passed
128,42,2025-08-26,646.41,Passed
129,43,2025-07-21,1171.44,Passed
130,43,2025-06-17,1207.365,Passed
131,43,2025-05-31,1685.0700000000002,Passed
132,43,2026-01-25,2272.215,Passed
133,44,2025-08-17,2160.5099999999998,Passed
134,44,2025-05-30,1813.7250000000001,Passed
135,45,2025-09-10,2364.1349999999998,Passed
136,45,2025-05-04,729.675,Passed
137,45,2026-02-25,911.25,Passed
138,45,2026-07-11,2117.52,Passed
